N,length,width,fgap,ggap,taper,1_1,1_2,1_GND,2_1,2_2,2_GND,GND_1,GND_2,GND_GND
3,100.0,10.00000001,10.0,75.0,50.0,4.202281145861577e-17,1.044782602576483e-14,3.497897787695204e-14,1.044782602576483e-14,2.8159458206096525e-17,2.817873270218722e-14,3.497897787695204e-14,2.817873270218722e-14,2.4283760078286055e-13
3,100.0,10.0,10.00000001,75.0,50.0,4.202281145861577e-17,1.044782602576483e-14,3.497897787695204e-14,1.044782602576483e-14,2.8159458206096525e-17,2.817873270218722e-14,3.497897787695204e-14,2.817873270218722e-14,2.4283760078286055e-13
3,100.0,10.0,10.0,75.00000001,50.0,4.202281145861577e-17,1.044782602576483e-14,3.497897787695204e-14,1.044782602576483e-14,2.8159458206096525e-17,2.817873270218722e-14,3.497897787695204e-14,2.817873270218722e-14,2.4283760078286055e-13
3,100.0,10.0,10.0,75.0,50.00000001,4.202281145861577e-17,1.044782602576483e-14,3.497897787695204e-14,1.044782602576483e-14,2.8159458206096525e-17,2.817873270218722e-14,3.497897787695204e-14,2.817873270218722e-14,2.4283760078286055e-13
4,100.0,10.0,10.0,75.0,50.0,4.066411715850349e-17,1.5161345453028662e-14,3.412695303367519e-14,1.5161345453028662e-14,3.982315536727802e-17,3.405417597528581e-14,3.412695303367519e-14,3.405417597528581e-14,2.4282484167111613e-13
4,100.00000001,10.0,10.0,75.0,50.0,4.066411715850349e-17,1.5161345453028662e-14,3.412695303367519e-14,1.5161345453028662e-14,3.982315536727802e-17,3.405417597528581e-14,3.412695303367519e-14,3.405417597528581e-14,2.4282484167111613e-13
4,100.0,10.00000001,10.0,75.0,50.0,4.066411715850349e-17,1.5161345453028662e-14,3.412695303367519e-14,1.5161345453028662e-14,3.982315536727802e-17,3.405417597528581e-14,3.412695303367519e-14,3.405417597528581e-14,2.4282484167111613e-13
4,100.0,10.0,10.00000001,75.0,50.0,4.066411715850349e-17,1.5161345453028662e-14,3.412695303367519e-14,1.5161345453028662e-14,3.982315536727802e-17,3.405417597528581e-14,3.412695303367519e-14,3.405417597528581e-14,2.4282484167111613e-13
4,100.0,10.0,10.0,75.00000001,50.0,4.066411715850349e-17,1.5161345453028662e-14,3.412695303367519e-14,1.5161345453028662e-14,3.982315536727802e-17,3.405417597528581e-14,3.412695303367519e-14,3.405417597528581e-14,2.4282484167111613e-13
4,100.0,10.0,10.0,75.0,50.00000001,4.066411715850349e-17,1.5161345453028662e-14,3.412695303367519e-14,1.5161345453028662e-14,3.982315536727802e-17,3.405417597528581e-14,3.412695303367519e-14,3.405417597528581e-14,2.4282484167111613e-13
5,100.0,10.0,10.0,75.0,50.0,5.207240889591782e-17,1.9839155977087063e-14,3.964722003008926e-14,1.9839155977087063e-14,3.8580126316013956e-17,3.27779599657622e-14,3.964722003008926e-14,3.27779599657622e-14,2.4370701658071993e-13
5,100.00000001,10.0,10.0,75.0,50.0,5.207240889591782e-17,1.9839155977087063e-14,3.964722003008926e-14,1.9839155977087063e-14,3.858012631602658e-17,3.2777959965762195e-14,3.964722003008926e-14,3.2777959965762195e-14,2.437070165807195e-13
5,100.0,10.00000001,10.0,75.0,50.0,5.2072408895930435e-17,1.9839155977087063e-14,3.964722003008924e-14,1.9839155977087063e-14,3.858012631602658e-17,3.2777959965762195e-14,3.964722003008924e-14,3.2777959965762195e-14,2.437070165807189e-13
5,100.0,10.0,10.00000001,75.0,50.0,5.207240889591782e-17,1.9839155977087063e-14,3.964722003008926e-14,1.9839155977087063e-14,3.858012631603919e-17,3.2777959965762176e-14,3.964722003008926e-14,3.2777959965762176e-14,2.4370701658071973e-13
5,100.0,10.0,10.0,75.00000001,50.0,5.2072408895930435e-17,1.9839155977087063e-14,3.964722003008924e-14,1.9839155977087063e-14,3.858012631602658e-17,3.2777959965762195e-14,3.964722003008924e-14,3.2777959965762195e-14,2.437070165807193e-13
5,100.0,10.0,10.0,75.0,50.00000001,5.2072408895930435e-17,1.9839155977087063e-14,3.964722003008924e-14,1.9839155977087063e-14,3.8580126316013956e-17,3.27779599657622e-14,3.964722003008924e-14,3.27779599657622e-14,2.437070165807191e-13
6,100.0,10.0,10.0,75.0,50.0,4.9402289083579454e-17,2.465344177680527e-14,3.9013079249142037e-14,2.465344177680527e-14,5.066553875194052e-17,3.916482537393762e-14,3.9013079249142037e-14,3.916482537393762e-14,2.43879860191465e-13
6,100.00000001,10.0,10.0,75.0,50.0,4.9402289083579454e-17,2.465344177680527e-14,3.9013079249142037e-14,2.465344177680527e-14,5.066553875194052e-17,3.916482537393762e-14,3.9013079249142037e-14,3.916482537393762e-14,2.43879860191465e-13
6,100.0,10.00000001,10.0,75.0,50.0,4.9402289083579454e-17,2.465344177680527e-14,3.9013079249142037e-14,2.465344177680527e-14,5.066553875194052e-17,3.916482537393762e-14,3.9013079249142037e-14,3.916482537393762e-14,2.43879860191465e-13
