N,length,width,fgap,ggap,taper,1_1,1_2,1_GND,2_1,2_2,2_GND,GND_1,GND_2,GND_GND
5,100.0,10.0,10.0,75.0,50.00000001,5.2072408895930435e-17,1.9839155977087063e-14,3.964722003008924e-14,1.9839155977087063e-14,3.858012631602658e-17,3.2777959965762195e-14,3.964722003008924e-14,3.2777959965762195e-14,2.437070165807193e-13
6,100.0,10.0,10.0,75.0,50.0,4.9402289083579454e-17,2.465344177680527e-14,3.9013079249142037e-14,2.465344177680527e-14,5.066553875194052e-17,3.916482537393762e-14,3.9013079249142037e-14,3.916482537393762e-14,2.43879860191465e-13
6,100.00000001,10.0,10.0,75.0,50.0,4.9402289083579454e-17,2.465344177680527e-14,3.9013079249142037e-14,2.465344177680527e-14,5.066553875194052e-17,3.916482537393762e-14,3.9013079249142037e-14,3.916482537393762e-14,2.43879860191465e-13
6,100.0,10.00000001,10.0,75.0,50.0,4.9402289083579454e-17,2.465344177680527e-14,3.9013079249142037e-14,2.465344177680527e-14,5.066553875194052e-17,3.916482537393762e-14,3.9013079249142037e-14,3.916482537393762e-14,2.43879860191465e-13
6,100.0,10.0,10.00000001,75.0,50.0,4.9402289083579454e-17,2.465344177680527e-14,3.9013079249142037e-14,2.465344177680527e-14,5.066553875194052e-17,3.916482537393762e-14,3.9013079249142037e-14,3.916482537393762e-14,2.43879860191465e-13
6,100.0,10.0,10.0,75.00000001,50.0,4.9402289083579454e-17,2.465344177680527e-14,3.9013079249142037e-14,2.465344177680527e-14,5.066553875194052e-17,3.916482537393762e-14,3.9013079249142037e-14,3.916482537393762e-14,2.43879860191465e-13
6,100.0,10.0,10.0,75.0,50.00000001,4.9402289083579454e-17,2.465344177680527e-14,3.9013079249142037e-14,2.465344177680527e-14,5.066553875194052e-17,3.916482537393762e-14,3.9013079249142037e-14,3.916482537393762e-14,2.43879860191465e-13
7,100.0,10.0,10.0,75.0,50.0,6.264539482772183e-17,2.942973031956767e-14,4.527795162236808e-14,2.942973031956767e-14,4.870442330498026e-17,3.812799989492987e-14,4.527795162236808e-14,3.812799989492987e-14,2.436521579479955e-13
7,100.00000001,10.0,10.0,75.0,50.0,6.264539482774077e-17,2.942973031956767e-14,4.527795162236806e-14,2.942973031956767e-14,4.8704423304961334e-17,3.81279998949299e-14,4.527795162236806e-14,3.81279998949299e-14,2.436521579479948e-13
7,100.0,10.00000001,10.0,75.0,50.0,6.264539482774077e-17,2.942973031956767e-14,4.527795162236806e-14,2.942973031956767e-14,4.8704423304961334e-17,3.81279998949299e-14,4.527795162236806e-14,3.81279998949299e-14,2.43652157947994e-13
7,100.0,10.0,10.00000001,75.0,50.0,6.264539482773447e-17,2.942973031956767e-14,4.527795162236806e-14,2.942973031956767e-14,4.870442330495503e-17,3.81279998949299e-14,4.527795162236806e-14,3.81279998949299e-14,2.436521579479946e-13
7,100.0,10.0,10.0,75.00000001,50.0,6.264539482777232e-17,2.942973031956767e-14,4.527795162236803e-14,2.942973031956767e-14,4.8704423304961334e-17,3.81279998949299e-14,4.527795162236803e-14,3.81279998949299e-14,2.436521579479947e-13
7,100.0,10.0,10.0,75.0,50.00000001,6.264539482774077e-17,2.942973031956767e-14,4.527795162236806e-14,2.942973031956767e-14,4.8704423304961334e-17,3.81279998949299e-14,4.527795162236806e-14,3.81279998949299e-14,2.436521579479945e-13
8,100.0,10.0,10.0,75.0,50.0,6.128768073631988e-17,3.42725477288333e-14,4.4699868404268526e-14,3.42725477288333e-14,6.001741291416283e-17,4.470245124649994e-14,4.4699868404268526e-14,4.470245124649994e-14,2.438682995629726e-13
8,100.00000001,10.0,10.0,75.0,50.0,6.128768073631988e-17,3.42725477288333e-14,4.4699868404268526e-14,3.42725477288333e-14,6.001741291416283e-17,4.470245124649994e-14,4.4699868404268526e-14,4.470245124649994e-14,2.438682995629726e-13
8,100.0,10.00000001,10.0,75.0,50.0,6.128768073631988e-17,3.42725477288333e-14,4.4699868404268526e-14,3.42725477288333e-14,6.001741291416283e-17,4.470245124649994e-14,4.4699868404268526e-14,4.470245124649994e-14,2.438682995629726e-13
8,100.0,10.0,10.00000001,75.0,50.0,6.128768073631988e-17,3.42725477288333e-14,4.4699868404268526e-14,3.42725477288333e-14,6.001741291416283e-17,4.470245124649994e-14,4.4699868404268526e-14,4.470245124649994e-14,2.438682995629726e-13
8,100.0,10.0,10.0,75.00000001,50.0,6.128768073631988e-17,3.42725477288333e-14,4.4699868404268526e-14,3.42725477288333e-14,6.001741291416283e-17,4.470245124649994e-14,4.4699868404268526e-14,4.470245124649994e-14,2.438682995629726e-13
8,100.0,10.0,10.0,75.0,50.00000001,6.128768073631988e-17,3.42725477288333e-14,4.4699868404268526e-14,3.42725477288333e-14,6.001741291416283e-17,4.470245124649994e-14,4.4699868404268526e-14,4.470245124649994e-14,2.438682995629726e-13
9,100.0,10.0,10.0,75.0,50.0,4.8209335046415165e-17,3.8785764518910384e-14,4.885423430195605e-14,3.8785764518910384e-14,3.942869752236871e-17,4.149921665538886e-14,4.885423430195605e-14,4.149921665538886e-14,2.4738058273091814e-13
9,100.00000001,10.0,10.0,75.0,50.0,4.8209335046415165e-17,3.8785764518910384e-14,4.885423430195605e-14,3.8785764518910384e-14,3.942869752236871e-17,4.149921665538886e-14,4.885423430195605e-14,4.149921665538886e-14,2.4738058273091814e-13
9,100.0,10.00000001,10.0,75.0,50.0,4.8209335046415165e-17,3.8785764518910384e-14,4.885423430195605e-14,3.8785764518910384e-14,3.942869752236871e-17,4.149921665538886e-14,4.885423430195605e-14,4.149921665538886e-14,2.4738058273091814e-13
9,100.0,10.0,10.00000001,75.0,50.0,4.8209335046415165e-17,3.8785764518910384e-14,4.885423430195605e-14,3.8785764518910384e-14,3.942869752236871e-17,4.149921665538886e-14,4.885423430195605e-14,4.149921665538886e-14,2.4738058273091814e-13
9,100.0,10.0,10.0,75.00000001,50.0,4.8209335046415165e-17,3.8785764518910384e-14,4.885423430195605e-14,3.8785764518910384e-14,3.942869752236871e-17,4.149921665538886e-14,4.885423430195605e-14,4.149921665538886e-14,2.4738058273091814e-13
9,100.0,10.0,10.0,75.0,50.00000001,4.8209335046415165e-17,3.8785764518910384e-14,4.885423430195605e-14,3.8785764518910384e-14,3.942869752236871e-17,4.149921665538886e-14,4.885423430195605e-14,4.149921665538886e-14,2.4738058273091814e-13
10,100.0,10.0,10.0,75.0,50.0,4.715446500615072e-17,4.352164180043092e-14,4.8620652537413916e-14,4.352164180043092e-14,4.7051435160399466e-17,4.842868367267923e-14,4.8620652537413916e-14,4.842868367267923e-14,2.4737423675247794e-13
10,100.00000001,10.0,10.0,75.0,50.0,4.715446500615072e-17,4.352164180043092e-14,4.8620652537413916e-14,4.352164180043092e-14,4.7051435160399466e-17,4.842868367267923e-14,4.8620652537413916e-14,4.842868367267923e-14,2.4737423675247794e-13
10,100.0,10.00000001,10.0,75.0,50.0,4.715446500615072e-17,4.352164180043092e-14,4.8620652537413916e-14,4.352164180043092e-14,4.7051435160399466e-17,4.842868367267923e-14,4.8620652537413916e-14,4.842868367267923e-14,2.4737423675247794e-13
10,100.0,10.0,10.00000001,75.0,50.0,4.715446500615072e-17,4.352164180043092e-14,4.8620652537413916e-14,4.352164180043092e-14,4.7051435160399466e-17,4.842868367267923e-14,4.8620652537413916e-14,4.842868367267923e-14,2.4737423675247794e-13
10,100.0,10.0,10.0,75.00000001,50.0,4.715446500615072e-17,4.352164180043092e-14,4.8620652537413916e-14,4.352164180043092e-14,4.7051435160399466e-17,4.842868367267923e-14,4.8620652537413916e-14,4.842868367267923e-14,2.4737423675247794e-13
10,100.0,10.0,10.0,75.0,50.00000001,4.715446500615072e-17,4.352164180043092e-14,4.8620652537413916e-14,4.352164180043092e-14,4.7051435160399466e-17,4.842868367267923e-14,4.8620652537413916e-14,4.842868367267923e-14,2.4737423675247794e-13
11,100.0,10.0,10.0,75.0,50.0,5.5042796473802494e-17,4.827030100371958e-14,5.46816784791941e-14,4.827030100371958e-14,4.584045488459506e-17,4.792589078983243e-14,5.46816784791941e-14,4.792589078983243e-14,2.4735045216320025e-13
11,100.00000001,10.0,10.0,75.0,50.0,5.5042796473802494e-17,4.827030100371958e-14,5.46816784791941e-14,4.827030100371958e-14,4.584045488459506e-17,4.792589078983243e-14,5.46816784791941e-14,4.792589078983243e-14,2.4735045216320025e-13
11,100.0,10.00000001,10.0,75.0,50.0,5.5042796473802494e-17,4.827030100371958e-14,5.46816784791941e-14,4.827030100371958e-14,4.584045488459506e-17,4.792589078983243e-14,5.46816784791941e-14,4.792589078983243e-14,2.4735045216320025e-13
11,100.0,10.0,10.00000001,75.0,50.0,5.5042796473802494e-17,4.827030100371958e-14,5.46816784791941e-14,4.827030100371958e-14,4.584045488459506e-17,4.792589078983243e-14,5.46816784791941e-14,4.792589078983243e-14,2.4735045216320025e-13
11,100.0,10.0,10.0,75.00000001,50.0,5.5042796473802494e-17,4.827030100371958e-14,5.46816784791941e-14,4.827030100371958e-14,4.584045488459506e-17,4.792589078983243e-14,5.46816784791941e-14,4.792589078983243e-14,2.4735045216320025e-13
11,100.0,10.0,10.0,75.0,50.00000001,5.5042796473802494e-17,4.827030100371958e-14,5.46816784791941e-14,4.827030100371958e-14,4.584045488459506e-17,4.792589078983243e-14,5.46816784791941e-14,4.792589078983243e-14,2.4735045216320025e-13
12,100.0,10.0,10.0,75.0,50.0,5.4459605080979504e-17,5.300464679628676e-14,5.472284098533376e-14,5.300464679628676e-14,5.353762118418209e-17,5.361756988740345e-14,5.472284098533376e-14,5.361756988740345e-14,2.474880984373102e-13
12,100.00000001,10.0,10.0,75.0,50.0,5.4459605080979504e-17,5.300464679628676e-14,5.472284098533376e-14,5.300464679628676e-14,5.353762118418209e-17,5.361756988740345e-14,5.472284098533376e-14,5.361756988740345e-14,2.474880984373102e-13
12,100.0,10.00000001,10.0,75.0,50.0,5.4459605080979504e-17,5.300464679628676e-14,5.472284098533376e-14,5.300464679628676e-14,5.353762118418209e-17,5.361756988740345e-14,5.472284098533376e-14,5.361756988740345e-14,2.474880984373102e-13
12,100.0,10.0,10.00000001,75.0,50.0,5.4459605080979504e-17,5.300464679628676e-14,5.472284098533376e-14,5.300464679628676e-14,5.353762118418209e-17,5.361756988740345e-14,5.472284098533376e-14,5.361756988740345e-14,2.474880984373102e-13
12,100.0,10.0,10.0,75.00000001,50.0,5.4459605080979504e-17,5.300464679628676e-14,5.472284098533376e-14,5.300464679628676e-14,5.353762118418209e-17,5.361756988740345e-14,5.472284098533376e-14,5.361756988740345e-14,2.474880984373102e-13
12,100.0,10.0,10.0,75.0,50.00000001,5.4459605080979504e-17,5.300464679628676e-14,5.472284098533376e-14,5.300464679628676e-14,5.353762118418209e-17,5.361756988740345e-14,5.472284098533376e-14,5.361756988740345e-14,2.474880984373102e-13
